category,n,acceptance_rate_pooled,acceptance_rate,mean_accept_length,forward_steps,gen_tokens,spec_tok_s
task_json_extraction,100,0.6334461577033973,0.6334461577033973,2.9003384731101916,2659.0,7674,2096.117224808954
task_data_generation,100,0.6109412164458036,0.6109412164458036,2.832823649337411,17658.0,49990,4918.55378108832
ood_ascii_art,100,0.5916733386709367,0.5916733386709367,2.7750200160128102,13739.0,38102,3356.6152792353655
task_tabular_data,100,0.5624195624195624,0.5624195624195624,2.687258687258687,12691.0,34051,4420.439651940182
lang_swahili,100,0.561011268007417,0.561011268007417,2.6830338040222506,18696.0,50140,4680.75903542517
task_math_reasoning,100,0.5055495882563552,0.5055495882563552,2.516648764769066,13965.0,35117,4467.757629051647
code_python,100,0.4760893043678405,0.4760893043678405,2.4282679131035216,18827.0,45684,4586.709764223185
code_javascript,100,0.4736952311155316,0.4736952311155316,2.421085693346595,19103.0,46241,4606.087345009906
code_typescript,100,0.4719131431654191,0.4719131431654191,2.4157394294962575,19772.0,47737,4670.448968114724
task_email_writing,100,0.47021458662453924,0.47021458662453924,2.4106437598736177,10128.0,24424,3783.575676570779
code_ruby,100,0.46598955204863574,0.46598955204863574,2.397968656145907,18313.0,43905,4506.030461054113
code_c,100,0.46219290698785964,0.46219290698785964,2.3865787209635787,20922.0,49923,4469.25512504016
code_cpp,100,0.4583022031844067,0.4583022031844067,2.37490660955322,20077.0,47683,4545.40898286689
code_r,100,0.4555981956507103,0.4555981956507103,2.366794586952131,19804.0,46871,4546.671574055809
code_java,100,0.454028167133894,0.454028167133894,2.3620845014016822,19976.0,47158,4525.4995572148855
code_swift,100,0.4538702643772145,0.4538702643772145,2.3616107931316437,19568.0,46182,4496.024537794489
ood_regex,100,0.4479324129127616,0.4479324129127616,2.3437972387382846,19846.0,46498,4402.094819592339
code_kotlin,100,0.4466169324036602,0.4466169324036602,2.3398507972109805,20509.0,47999,4544.25076340996
code_bash,100,0.4428288723418528,0.4428288723418528,2.3284866170255585,19876.0,46268,4552.685066083126
ood_shell,100,0.441576595200126,0.441576595200126,2.324729785600378,16931.0,39367,4384.39063794523
code_rust,100,0.440524144625091,0.440524144625091,2.3215724338752732,20605.0,47832,4399.112826119204
code_go,100,0.43915902654442474,0.43915902654442474,2.3174770796332744,20833.0,48265,4511.099727902883
ood_customer_support,100,0.43422376639896715,0.43422376639896715,2.3026712991969016,17557.0,40438,4284.922162753331
code_sql,100,0.43386217317041126,0.43386217317041126,2.3015865195112335,20296.0,46707,4475.151574146484
ood_financial,100,0.4239464136198716,0.4239464136198716,2.271839240859615,21498.0,48866,4366.49781059405
task_logic_reasoning,100,0.4222876258483708,0.4222876258483708,2.2668628775451127,20726.0,46960,4253.632123344974
ood_chemistry,100,0.4157620422932643,0.4157620422932643,2.247286126879793,20082.0,45132,4306.009156441843
lang_english,100,0.41558045949369116,0.41558045949369116,2.2467413784810732,20791.0,46691,4578.598863149829
code_haskell,100,0.41202123625331816,0.41202123625331816,2.2360637087599544,21096.0,47180,4294.31113617074
task_summarization,100,0.39332691690728266,0.39332691690728266,2.179980750721848,7273.0,15823,2775.0302455804836
task_question_answering,100,0.3904060550271044,0.3904060550271044,2.1712181650813136,19554.0,42453,4200.530336442278
ood_legal,100,0.3902336791365399,0.3902336791365399,2.1707010374096196,22267.0,48326,4241.628334642384
task_roleplay_chat,100,0.3693722313407811,0.3693722313407811,2.1081166940223435,18887.0,39806,4047.9105362463697
ood_medical,100,0.35881548466326163,0.35881548466326163,2.076446453989785,23886.0,49595,4097.635091197425
task_creative_writing,100,0.3437234798963279,0.3437234798963279,2.0311704396889834,14533.0,29517,3516.9251599748823
ood_poetry,100,0.34211345662868176,0.34211345662868176,2.026340369886045,10706.0,21737,3277.4149643661844
task_translation,100,0.22261701724464658,0.22261701724464658,1.6678510517339398,7036.0,11672,1445.3446113919993
lang_french,100,0.19545755039385077,0.19545755039385077,1.5863726511815524,29749.0,47216,3194.5296240358657
lang_spanish,100,0.19383896032455478,0.19383896032455478,1.5815168809736644,29086.0,46032,3187.534620813989
lang_italian,100,0.15877311682453765,0.15877311682453765,1.476319350473613,33255.0,49128,2913.702089651001
lang_portuguese,100,0.157560132119819,0.157560132119819,1.472680396359457,32193.0,47432,2978.893166706757
lang_german,100,0.13982248520710058,0.13982248520710058,1.4194674556213018,33800.0,48009,2818.876856833604
lang_turkish,100,0.12569592135734203,0.12569592135734203,1.377087764072026,35265.0,48611,2808.582824512896
lang_polish,100,0.10926765224272508,0.10926765224272508,1.3278029567281753,37068.0,49267,2647.7840446175305
lang_hindi,100,0.10852572259589166,0.10852572259589166,1.3255771677876749,38507.0,51104,2510.9718969386754
lang_korean,100,0.09248514627219347,0.09248514627219347,1.2774554388165804,38262.0,48919,2573.130857473151
lang_vietnamese,100,0.09166187263567108,0.09166187263567108,1.2749856179070131,38242.0,48791,2560.98422632181
lang_chinese,100,0.08315023283150233,0.08315023283150233,1.249450698494507,36865.0,46104,2569.8006490128187
lang_russian,100,0.06316674155807413,0.06316674155807413,1.1895002246742223,40058.0,47697,2435.0735495078557
lang_japanese,100,0.06007168458781362,0.06007168458781362,1.1802150537634408,41850.0,49461,2450.0376102617956
lang_arabic,100,0.051976545051337295,0.051976545051337295,1.1559296351540118,42237.0,48903,2369.308693491583
