category,n,acceptance_rate_pooled,acceptance_rate,mean_accept_length,forward_steps,gen_tokens,spec_tok_s
task_math_reasoning,100,0.38484213201194334,0.38484213201194334,6.77263198017915,5247.0,35390,3941.10654090205
task_tabular_data,100,0.36187265917602995,0.36187265917602995,6.428089887640449,5340.0,34124,3598.6405482967034
task_json_extraction,100,0.3411548556430446,0.3411548556430446,6.11732283464567,1270.0,7695,2195.42464300454
task_data_generation,100,0.27950067058702155,0.27950067058702155,5.192510058805324,9693.0,49974,3256.7578930768427
ood_chemistry,100,0.2586529533604742,0.2586529533604742,4.879794300407114,9334.0,45326,3024.5190321083473
ood_ascii_art,100,0.24146390187382635,0.24146390187382635,4.621958528107395,8343.0,38287,2760.8701603776976
code_python,100,0.20992753623188407,0.20992753623188407,4.148913043478261,11040.0,45646,2633.0997472625245
code_javascript,100,0.2051776531089294,0.2051776531089294,4.077664796633941,11408.0,46394,2594.843833884434
task_logic_reasoning,100,0.19988724453840734,0.19988724453840734,3.9983086680761097,11825.0,47069,2574.6241279165047
code_java,100,0.1950397650123313,0.1950397650123313,3.9255964751849697,12029.0,47027,2517.839926665145
ood_regex,100,0.19384880872856824,0.19384880872856824,3.907732130928524,11976.0,46626,2528.8784075439326
code_cpp,100,0.19193443687114572,0.19193443687114572,3.879016553067186,12324.0,47620,2488.665958565984
code_ruby,100,0.19078057775046098,0.19078057775046098,3.8617086662569147,11389.0,43801,2455.872274999204
lang_swahili,100,0.18975375466951286,0.18975375466951286,3.8463063200426926,13117.0,50151,2417.993402979219
code_c,100,0.1889655172413793,0.1889655172413793,3.8344827586206898,13050.0,49875,2396.1974275601406
code_sql,100,0.18696358907672303,0.18696358907672303,3.804453836150845,12304.0,46630,2433.479537516303
code_r,100,0.18423982188295165,0.18423982188295165,3.7635973282442747,12576.0,47163,2407.588630539505
code_go,100,0.18238749579483995,0.18238749579483995,3.735812436922599,12881.0,47964,2431.9777964008954
code_typescript,100,0.18090151456511083,0.18090151456511083,3.7135227184766624,12919.0,47800,2393.0665471458574
code_rust,100,0.179570890711228,0.179570890711228,3.69356336066842,12926.0,47564,2397.6303497202252
code_swift,100,0.17534658955874197,0.17534658955874197,3.63019884338113,12623.0,45651,2337.3630555134487
code_bash,100,0.17483388919051682,0.17483388919051682,3.6225083378577523,12893.0,46525,2352.179624321128
code_kotlin,100,0.1743310657596372,0.1743310657596372,3.614965986394558,13230.0,47701,2335.540483785748
ood_shell,100,0.15640807047456665,0.15640807047456665,3.3461210571184994,11730.0,39160,2137.2748182124055
ood_financial,100,0.15119285619085698,0.15119285619085698,3.267892842862855,15006.0,48877,2128.4599914792707
code_haskell,100,0.15001481684104948,0.15001481684104948,3.2502222526157425,14623.0,47433,2099.251907186091
ood_medical,100,0.13580111172194734,0.13580111172194734,3.0370166758292103,16371.0,49600,2041.3166937862986
task_email_writing,100,0.1199265381083563,0.1199265381083563,2.798898071625344,8712.0,24299,1726.7091024095246
ood_legal,100,0.11871442534352901,0.11871442534352901,2.780716380152935,17393.0,48278,1858.284371820689
ood_customer_support,100,0.11564597890121935,0.11564597890121935,2.7346896835182903,14598.0,39853,1783.3920493495712
lang_english,100,0.11396206024817152,0.11396206024817152,2.7094309037225726,17273.0,46737,1798.3511313608203
task_question_answering,100,0.11216003028964473,0.11216003028964473,2.6824004543446707,15847.0,42430,1765.7666460227945
lang_french,100,0.10089439101712626,0.10089439101712626,2.513415865256894,18821.0,47244,1673.0907210779349
task_summarization,100,0.0988095238095238,0.0988095238095238,2.482142857142857,6440.0,15906,1452.5277541414405
task_translation,100,0.09508609827803444,0.09508609827803444,2.4262914741705166,4762.0,11490,1241.8008524848422
lang_spanish,100,0.09136489294115627,0.09136489294115627,2.370473394117344,19413.0,45952,1552.4991215532243
task_roleplay_chat,100,0.08651566717521418,0.08651566717521418,2.2977350076282126,17042.0,39109,1519.780555333403
lang_italian,100,0.0839002475474466,0.0839002475474466,2.2585037132116987,21814.0,49174,1494.251992513877
ood_poetry,100,0.07463268174268557,0.07463268174268557,2.1194902261402837,10436.0,22027,1315.5598488238722
task_creative_writing,100,0.07350306124861121,0.07350306124861121,2.1025459187291684,14101.0,29580,1336.485781112669
lang_german,100,0.06973912548718386,0.06973912548718386,2.0460868823077583,23434.0,47945,1347.8323142868574
lang_portuguese,100,0.06282322328833957,0.06282322328833957,1.9423483493250935,24596.0,47732,1295.6537723088525
lang_hindi,100,0.060523500286133715,0.060523500286133715,1.9078525042920056,26794.0,51116,1286.912116441983
lang_chinese,100,0.05917639561214389,0.05917639561214389,1.8876459341821583,24583.0,46390,1261.3939431857364
lang_russian,100,0.05844261222353095,0.05844261222353095,1.8766391833529643,25470.0,47766,1257.7983705685383
lang_japanese,100,0.053459690400977936,0.053459690400977936,1.8018953560146689,27541.0,49624,1223.5458492679488
lang_arabic,100,0.050607131693476644,0.050607131693476644,1.7591069754021496,27726.0,48749,1194.9260562748848
lang_vietnamese,100,0.045967032458211786,0.045967032458211786,1.689505486873177,28796.0,48615,1139.5939316792796
lang_korean,100,0.040212403304051396,0.040212403304051396,1.603186049560771,30508.0,48884,1081.381213327759
lang_turkish,100,0.038346354166666666,0.038346354166666666,1.5751953125,30720.0,48375,1064.2663642405046
lang_polish,100,0.03516895601549713,0.03516895601549713,1.527534340232457,32178.0,49142,1027.7291040802786
