category,n,acceptance_rate_pooled,acceptance_rate,mean_accept_length,forward_steps,gen_tokens,spec_tok_s
ood_ascii_art,2,0.5385416666666667,0.5385416666666667,9.078125,64.0,576,923.0851184158624
task_math_reasoning,26,0.24436592069100904,0.24436592069100904,4.665488810365135,2547.0,11804,1719.834957387505
code_sql,10,0.21852784774699133,0.21852784774699133,4.27791771620487,1191.0,5072,1298.1189204680131
task_tabular_data,13,0.2006847935548842,0.2006847935548842,4.010271903323263,1655.0,6621,1216.4313156658054
code_rust,1,0.19947916666666668,0.19947916666666668,3.9921875,128.0,512,281.46914498042366
code_typescript,7,0.19661781285231117,0.19661781285231117,3.949267192784667,887.0,3498,953.2205079158391
code_python,39,0.1939607843137255,0.1939607843137255,3.909411764705882,5100.0,19861,1549.193363638311
code_c,15,0.18602520045819015,0.18602520045819015,3.790378006872852,2037.0,7680,1137.1421794848015
code_javascript,48,0.18374554707379134,0.18374554707379134,3.7561832061068703,6550.0,24473,1617.628344698278
code_kotlin,3,0.18151609553478712,0.18151609553478712,3.722741433021807,321.0,1182,460.9989088475684
task_json_extraction,2,0.1813780260707635,0.1813780260707635,3.7206703910614527,179.0,662,348.1652354761383
ood_customer_support,5,0.1760622381807301,0.1760622381807301,3.6409335727109515,557.0,2021,780.0352243760004
ood_shell,19,0.16839772884642015,0.16839772884642015,3.5259659326963027,2407.0,8440,1402.4551045062465
code_r,2,0.165990990990991,0.165990990990991,3.489864864864865,296.0,1024,394.9528297518029
code_cpp,8,0.1650900900900901,0.1650900900900901,3.4763513513513513,1184.0,4096,924.4396279213896
lang_swahili,11,0.15624603677869373,0.15624603677869373,3.343690551680406,1577.0,5262,1090.82378321998
ood_chemistry,17,0.14502529510961215,0.14502529510961215,3.175379426644182,2372.0,7503,1085.6604629346066
ood_regex,5,0.1448559670781893,0.1448559670781893,3.1728395061728394,810.0,2560,859.9740835925754
task_email_writing,19,0.1418875502008032,0.1418875502008032,3.128313253012048,1660.0,5167,1027.8630753221128
ood_financial,40,0.1393928550128228,0.1393928550128228,3.090892825192342,5589.0,17235,1400.642119914229
task_logic_reasoning,3,0.1354112554112554,0.1354112554112554,3.031168831168831,385.0,1161,361.58062464225003
code_java,3,0.134640522875817,0.134640522875817,3.019607843137255,510.0,1536,553.2940916318938
ood_legal,8,0.1316017316017316,0.1316017316017316,2.974025974025974,1232.0,3667,835.6043949535391
ood_medical,23,0.1292620865139949,0.1292620865139949,2.9389312977099236,2751.0,8066,1046.2222985657581
lang_english,100,0.12528017041770861,0.12528017041770861,2.8792025562656294,14396.0,41371,1554.9761503744758
task_summarization,100,0.12104730686738699,0.12104730686738699,2.815709603010805,8237.0,23085,1249.5184319562943
lang_spanish,100,0.12103551036192817,0.12103551036192817,2.8155326554289224,14653.0,41159,1465.3816498065594
code_go,1,0.12021857923497267,0.12021857923497267,2.80327868852459,183.0,512,187.8651315692103
task_question_answering,100,0.1187220502235982,0.1187220502235982,2.780830753353973,15504.0,43019,1573.318211673964
lang_french,100,0.11188557942708334,0.11188557942708334,2.67828369140625,16384.0,43781,1451.127431345002
lang_italian,95,0.10338594032457904,0.10338594032457904,2.5507891048686857,16411.0,41774,1374.8268521196321
task_roleplay_chat,100,0.10324057849115675,0.10324057849115675,2.5486086773673513,14267.0,36303,1296.1993131593435
task_translation,81,0.10245920269103141,0.10245920269103141,2.536888040365471,7333.0,18521,1059.173277014737
task_creative_writing,100,0.09902571963890308,0.09902571963890308,2.4853857945835465,19570.0,48564,1401.4949081337866
lang_japanese,37,0.09517523180889517,0.09517523180889517,2.4276284771334273,6363.0,15391,1002.5965639399328
lang_german,100,0.08608087345951423,0.08608087345951423,2.2912131018927138,20394.0,46582,1243.1497866871978
lang_chinese,100,0.08522306210167482,0.08522306210167482,2.278345931525122,20241.0,45996,1273.246610263938
lang_russian,100,0.08245186613880147,0.08245186613880147,2.236777992082022,19702.0,43986,1231.897098772849
lang_portuguese,100,0.06753261599577028,0.06753261599577028,2.0129892399365543,23327.0,46879,1132.2876142707723
lang_vietnamese,58,0.06752197297651844,0.06752197297651844,2.0128295946477763,12705.0,25520,998.3807602024888
ood_poetry,2,0.06353467561521253,0.06353467561521253,1.9530201342281879,149.0,290,182.39632774654908
lang_arabic,57,0.06290860215053763,0.06290860215053763,1.9436290322580645,12400.0,24043,985.3140408119036
lang_turkish,76,0.05475423559170898,0.05475423559170898,1.8213135338756348,18317.0,33307,975.196630050548
lang_polish,70,0.052062156794017996,0.052062156794017996,1.7809323519102698,17118.0,30434,914.054469775332
lang_korean,9,0.0421747572815534,0.0421747572815534,1.632621359223301,2575.0,4209,596.0100392967527
