domain,variant,n,acceptance_rate_pooled,mean_accept_length,speedup,exact_match_rate
code_python,base,100,0.2093,4.4837,3.1933,0.2700
code_python,own,100,0.2153,4.5983,3.1317,0.2700
code_python,comb10,100,0.2108,4.4966,3.0445,0.2700
code_python,comb20,100,0.2131,4.5378,3.0874,0.2700
code_python,comb40,100,0.2161,4.5973,3.1309,0.2700
code_sql,base,100,0.1800,3.8994,2.7899,0.1900
code_sql,own,100,0.1875,4.0251,2.7353,0.1900
code_sql,comb10,100,0.1840,3.9562,2.7003,0.1900
code_sql,comb20,100,0.1838,3.9492,2.6869,0.1900
code_sql,comb40,100,0.1846,3.9610,2.6917,0.1900
lang_polish,base,100,0.0313,1.4837,1.0749,0.0800
lang_polish,own,100,0.0441,1.6837,1.1604,0.0800
lang_polish,comb10,100,0.0449,1.6982,1.1580,0.0800
lang_polish,comb20,100,0.0425,1.6608,1.1416,0.0800
lang_polish,comb40,100,0.0412,1.6386,1.1311,0.0800
lang_korean,base,100,0.0353,1.5415,1.1210,0.1100
lang_korean,own,100,0.0513,1.7849,1.2343,0.1100
lang_korean,comb10,100,0.0511,1.7789,1.2304,0.1100
lang_korean,comb20,100,0.0497,1.7626,1.2199,0.1100
lang_korean,comb40,100,0.0476,1.7279,1.1922,0.1100
lang_german,base,100,0.0679,2.0385,1.4783,0.1400
lang_german,own,100,0.0716,2.0992,1.4409,0.1400
lang_german,comb10,100,0.0704,2.0785,1.4299,0.1400
lang_german,comb20,100,0.0698,2.0690,1.4251,0.1400
lang_german,comb40,100,0.0700,2.0702,1.4270,0.1400
ood_legal,base,100,0.1160,2.7808,2.0080,0.1500
ood_legal,own,100,0.1220,2.8680,1.9692,0.1500
ood_legal,comb10,100,0.1201,2.8422,1.9549,0.1500
ood_legal,comb20,100,0.1192,2.8297,1.9542,0.1500
ood_legal,comb40,100,0.1193,2.8384,1.9468,0.1500
ood_medical,base,100,0.1321,3.0325,2.1814,0.1900
ood_medical,own,100,0.1363,3.0992,2.1285,0.1900
ood_medical,comb10,100,0.1358,3.0970,2.1226,0.1900
ood_medical,comb20,100,0.1347,3.0727,2.1173,0.1900
ood_medical,comb40,100,0.1350,3.0770,2.1074,0.1900
task_math_reasoning,base,100,0.3756,6.9810,4.8837,0.4100
task_math_reasoning,own,100,0.3955,7.3383,4.8718,0.4100
task_math_reasoning,comb10,100,0.3877,7.2094,4.8401,0.4100
task_math_reasoning,comb20,100,0.3858,7.1612,4.8149,0.4100
task_math_reasoning,comb40,100,0.3845,7.1036,4.7177,0.4100
task_summarization,base,100,0.0964,2.5405,1.7731,0.3600
task_summarization,own,100,0.0983,2.6162,1.7494,0.3600
task_summarization,comb10,100,0.0975,2.5857,1.7364,0.3600
task_summarization,comb20,100,0.0979,2.5662,1.7193,0.3600
task_summarization,comb40,100,0.0984,2.5761,1.7322,0.3600
task_roleplay_chat,base,100,0.0814,2.2373,1.6108,0.1400
task_roleplay_chat,own,100,0.0851,2.2962,1.5812,0.1400
task_roleplay_chat,comb10,100,0.0837,2.2738,1.5707,0.1400
task_roleplay_chat,comb20,100,0.0837,2.2726,1.5683,0.1400
task_roleplay_chat,comb40,100,0.0829,2.2620,1.5463,0.1400
